--- Models (v1) ---
ID: models/gemini-2.5-flash | Display: Gemini 2.5 Flash
ID: models/gemini-2.5-pro | Display: Gemini 2.5 Pro
ID: models/gemini-2.0-flash | Display: Gemini 2.0 Flash
ID: models/gemini-2.0-flash-001 | Display: Gemini 2.0 Flash 001
ID: models/gemini-2.0-flash-lite-001 | Display: Gemini 2.0 Flash-Lite 001
ID: models/gemini-2.0-flash-lite | Display: Gemini 2.0 Flash-Lite
ID: models/gemini-2.5-flash-lite | Display: Gemini 2.5 Flash-Lite
ID: models/embedding-001 | Display: Embedding 001
ID: models/text-embedding-004 | Display: Text Embedding 004
Total v1 models: 9
